Date,smile,job
2026-04-06 12:35:10,CCC(=O)N1CC[C@H]([C@H]1C(=O)Nc2ccc3cc(ccc3c2)Br)O,4f6f7289
2026-04-06 12:35:27,CN(C)CCOc1ccc(cc1)C(=O)NC[C@@H]2COc3cccc(c3O2)c4cccc(n4)OC,4f6f7289
2026-04-06 12:37:40,CCC(=O)N1CCN(CC1)c2c3cc(c(cc3nc(n2)NCCC(=O)N(C)C)c4ccccc4F)Cl,4f6f7289
2026-04-06 13:11:27,c1ccc2c(c1)OC[C@H](O2)CNC(=O)c3ccco3,4f6f7289
2026-04-06 14:42:31,CC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)Nc2cc(c(cn2)Cl)c3cnn4c3CC(C4)(C)C,12f5e069
2026-04-08 15:40:15,c1ccc2c(c1)c(c[nH]2)Cc3[nH]c4ccc(cc4n3)NC(=O)[C@@H]5CCCN5,4f6f7289
2026-04-23 11:29:53,c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl,2e9130c8
2026-04-23 11:30:04,c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl,2e9130c8
2026-04-23 12:03:11,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 15:47:44,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 15:48:56,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 15:50:48,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
