Warhead,SMILES
08D,['Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N']
0MZ,['c1ccc(c(c1)/C=N/N=C\\2/N=C([C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O)O']
2XB,['c1cc(ccc1Cc2c[nH]c3c2c(nc(n3)N)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O']
7Z9,['Cc1ccc2c(c1Sc3ccncc3)C(=O)NC(=N2)N']
7ZC,['CN(C)Cc1c[nH]c2c1cc(cc2)OC']
9MZ,['c1ccc(c(c1)/C=N/NC2=NC(=O)[C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O']
D16,['CC1=NC(=O)c2cc(ccc2N1)CN(C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O']
D96,['c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)N[C@H](CCC(=O)O)C(=O)O']
DCM,['C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O']
DHF,['c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=NC3=C(NC2)NC(=NC3=O)N']
FFO,['c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCC2CNC3=C(N2C=O)C(=O)NC(=N3)N']
FGT,['c1ccc2c(c1)C(=O)OC2(c3ccc(cc3)O)c4ccc(cc4)O']
GSH,['C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N']
KI3,['Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O']
MTX,['CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O']
NOH,['C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)NO)COP(=O)(O)O)O']
OE7,['c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)Cl']
OEJ,['c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)C(=O)O']
PBX,['c1cc(c(c(c1O)O)O)Br']
TGQ,['CN(C[C@H]1CNC2=C(N1)C(=O)N=C(N2)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O']
TIY,['c1c2c(c(c(c1O)O)O)C(=O)C(=CC=C2)O']
